,property Name,address,city,state,zip,neighborhood,link,walk,transit,bike,sound
79,Vertex Off Broadway,802 E Thomas St,Seattle,WA,98102,Capitol Hill,https://www.apartments.com/vertex-off-broadway-seattle-wa/c5t177e/,99,80,91,66
80,Cypress,120 Broadway,Seattle,WA,98122,First Hill,https://www.apartments.com/cypress-seattle-wa/pv15ezr/,94,100,71,67
81,Overlook at Magnolia,3520 27th Pl W,Seattle,WA,98199,Lawton Park,https://www.apartments.com/overlook-at-magnolia-seattle-wa/pmzb5pv/,52,43,46,80
82,Aura West Seattle,4435 35th Ave SW,Seattle,WA,98126,Fairmount Park,https://www.apartments.com/aura-west-seattle-seattle-wa/pns15wr/,85,55,60,68
83,East Howe Steps,1823 Eastlake Ave E,Seattle,WA,98102,Eastlake,https://www.apartments.com/east-howe-steps-seattle-wa/dgnwmfj/,78,59,88,66
84,HANA Apartments,101 6th Ave S,Seattle,WA,98104,Pioneer Square,https://www.apartments.com/hana-apartments-seattle-wa/8mhszb0/,98,100,75,63
85,Arista,4715 25th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/arista-seattle-wa/npgvxlq/,90,77,99,72
86,Jackson Apartments,2401 S Jackson St,Seattle,WA,98144,Atlantic,https://www.apartments.com/jackson-apartments-seattle-wa/vblnwkf/,91,67,92,72
87,Garden Pointe,130 SW 112th St,Seattle,WA,98146,Highline,https://www.apartments.com/garden-pointe-seattle-wa/n3e96pq/,43,46,73,
88,Maude Urban Living,836 NE 67th St,Seattle,WA,98115,Roosevelt,https://www.apartments.com/maude-urban-living-seattle-wa/kx2eyyc/,95,68,85,62
89,Lightbox,4545 8th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/lightbox-seattle-wa/np3qvbp/,95,83,87,64
90,Park South,10102 8th Ave S,Seattle,WA,98168,Southern Heights-Boulevard Park,https://www.apartments.com/park-south-seattle-wa/39gy0kf/,35,14,73,
91,Novo Seattle,6105 Roosevelt Way NE,Seattle,WA,98115,Roosevelt,https://www.apartments.com/novo-seattle-seattle-wa/nrb0ttm/,97,68,96,64
92,Filipino Community Village - MOVE-IN SPECIAL!,5727 37th Ave S,Seattle,WA,98118,Columbia City,https://www.apartments.com/filipino-community-village-move-in-special-seattle-wa/fndfh9t/,91,55,73,71
93,The Accolade,4126 12th Ave NE,Seattle,WA,98105,University District,https://www.apartments.com/the-accolade-seattle-wa/7lspshx/,99,85,81,67
94,The Mill at First Hill,1000 8th Ave,Seattle,WA,98104,First Hill,https://www.apartments.com/the-mill-at-first-hill-seattle-wa/3z5s8mg/,98,100,67,62
95,Sedona Apartments,8500 20th Ave NE,Seattle,WA,98115,Wedgewood,https://www.apartments.com/sedona-apartments-seattle-wa/ch0j5kf/,69,52,91,70
96,Executive Estates,1227 NE 143rd St,Seattle,WA,98125,Lake City,https://www.apartments.com/executive-estates-seattle-wa/2vnlp78/,55,46,58,75
